File Name: D:\数据\20260209-TDI\20260209 TDI 2026-02-09 14-59-34\TDI C5B.D
Creation Date: 2026-02-10 14:07:10
Sample Name: TDI C5B
Sample Description: TDI C5B
Method: CG-FID-TDI-CAL-125.M last changed 2026-02-10 14:06:53

Signal: FID1A
     Time Type      Area    Height     Width     Start       End
----------------------------------------------------------------
    0.035 BB       0.282     0.110     0.032     0.015     0.074 
    1.019 BV      97.602    69.398     0.022     0.944     1.032 
    1.045 VV     410.936   124.268     0.042     1.032     1.110 
    1.317 VB S 1305202.250 172306.141     0.092     1.110     2.081 
    1.369 BV T    77.035   189.701     0.007     1.344     1.378 
    1.437 VV T    45.413    54.542     0.012     1.388     1.456 
    1.480 VV T   595.193   787.863     0.011     1.456     1.509 
    1.528 VB T    45.081    79.756     0.009     1.509     1.547 
    1.633 BV T    56.874    80.887     0.011     1.601     1.663 
    1.670 VV T     0.407     0.549     0.011     1.663     1.682 
    1.697 VV T     1.950     2.121     0.014     1.682     1.731 
    1.743 VV T     0.331     0.353     0.014     1.731     1.766 
    1.816 VV T     4.225     5.128     0.013     1.767     1.841 
    1.878 VV T   290.948   367.237     0.012     1.852     1.975 
    1.990 VB T     0.258     0.172     0.020     1.975     2.033 
    2.248 BB      36.254    36.979     0.015     2.200     2.328 
    2.364 BB      37.621    40.607     0.014     2.337     2.480 
    3.020 BB       0.284     0.089     0.040     2.996     3.115 
    3.828 VB       0.409     0.198     0.027     3.793     3.857 
    4.641 BB       0.268     0.138     0.025     4.617     4.676 
    4.829 BB       0.336     0.132     0.031     4.822     4.882 
    4.913 BB       0.686     0.148     0.055     4.886     4.984 
    5.068 BB       0.283     0.128     0.028     5.024     5.086 
    5.393 VB       0.307     0.131     0.028     5.382     5.460 
    6.328 BV      97.552    40.599     0.037     6.271     6.373 
    6.419 VB      95.313    37.278     0.040     6.373     6.472 
    6.526 MF      91.620    34.070     0.045     6.473     6.605 
    7.126 MF      40.608    12.165     0.056     7.037     7.195 
   10.682 BV E     1.113     0.920     0.018    10.609    10.698 
   10.716 VB R    29.828    21.658     0.020    10.609    10.910 
   11.209 BB       0.559     0.352     0.023    11.135    11.246 
   12.807 BB       0.283     0.158     0.027    12.764    12.828 


   RetTime       Type CalibPeakType                       Signalname          Amount Compound
---------------------------------------------------------------------------------------------------------
     0.035    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.019    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.045    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.317    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.369    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.437    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.480    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.528    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.633    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.670    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.697    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.743    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.816    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.878    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     1.990    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     2.248    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     2.364    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     3.020    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     3.828    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     4.641    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     4.829    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     4.913    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     5.068    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     5.393    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
     6.328   Expected          Main                            FID1A    87.174  mg/L 2,6-TDI
     6.419   Expected          Main                            FID1A   120.531  mg/L 2,4-TDI
     6.526   Expected          Main                            FID1A    74.425  mg/L HDI
     7.126   Expected          Main                            FID1A    10.000  mg/L 正十四烷
    10.682    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
    10.716    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
    11.209    Unknown       NewMain                            FID1A    0.000e+000  mg/L 
    12.807    Unknown       NewMain                            FID1A    0.000e+000  mg/L 

-------------------------------------------------------------------------------------------------------------

